51°22,200'N	003°22,200'E
51°21,640'N	003°22,520'E
51°21,100'N	003°22,230'E
51°20,200'N	003°23,080'E
51°19,020'N	003°21,470'E
51°17,160'N	003°22,910'E
51°16,780'N	003°22,490'E
51°14,700'N	003°25,630'E
51°14,540'N	003°26,990'E
51°14,860'N	003°31,580'E
51°17,320'N	003°30,900'E
51°17,050'N	003°32,260'E
51°17,800'N	003°33,790'E
51°17,260'N	003°34,820'E
51°17,580'N	003°35,330'E
51°18,060'N	003°34,900'E
51°18,490'N	003°35,410'E
51°17,420'N	003°38,130'E
51°16,890'N	003°41,450'E
51°16,620'N	003°41,700'E
51°16,300'N	003°45,190'E
51°15,770'N	003°46,120'E
51°15,450'N	003°47,660'E
51°14,810'N	003°47,400'E
51°12,990'N	003°47,230'E
51°12,780'N	003°48,170'E
51°12,620'N	003°49,530'E
51°12,730'N	003°51,570'E
51°13,420'N	003°53,440'E
51°12,940'N	003°53,370'E
51°12,510'N	003°52,580'E
51°12,070'N	003°53,050'E
51°12,140'N	003°53,900'E
51°12,570'N	003°55,020'E
51°12,940'N	003°54,910'E
51°13,310'N	003°55,660'E
51°12,770'N	003°56,080'E
51°13,070'N	003°57,520'E
51°14,110'N	003°59,110'E
51°14,840'N	004°01,130'E
51°14,540'N	004°02,510'E
51°14,910'N	004°03,950'E
51°17,680'N	004°10,060'E
51°21,250'N	004°14,510'E
51°21,920'N	004°13,230'E
51°22,520'N	004°12,960'E
51°22,680'N	004°20,060'E
51°21,550'N	004°20,490'E
51°21,320'N	004°23,220'E
51°22,080'N	004°25,730'E
51°22,550'N	004°25,940'E
51°24,650'N	004°23,430'E
51°25,350'N	004°23,060'E
51°26,280'N	004°23,910'E
51°26,780'N	004°23,590'E
51°26,880'N	004°22,790'E
51°28,180'N	004°26,630'E
51°28,350'N	004°27,970'E
51°28,680'N	004°28,450'E
51°28,802'N	004°29,891'E
51°28,858'N	004°30,246'E
51°29,090'N	004°32,204'E
51°28,536'N	004°32,816'E
51°27,163'N	004°31,806'E
51°25,526'N	004°32,131'E
51°26,100'N	004°34,600'E
51°25,602'N	004°37,994'E
51°25,714'N	004°39,029'E
51°25,500'N	004°40,200'E
51°26,714'N	004°39,940'E
51°27,112'N	004°41,136'E
51°27,155'N	004°41,559'E
51°28,047'N	004°42,161'E
51°28,177'N	004°43,056'E
51°29,085'N	004°43,746'E
51°29,419'N	004°44,813'E
51°29,850'N	004°44,922'E
51°30,088'N	004°45,413'E
51°30,300'N	004°45,700'E
51°30,293'N	004°46,690'E
51°29,993'N	004°47,076'E
51°30,018'N	004°47,759'E
51°29,776'N	004°48,872'E
51°29,055'N	004°49,256'E
51°28,900'N	004°50,400'E
51°28,429'N	004°50,438'E
51°28,151'N	004°50,196'E
51°27,817'N	004°50,223'E
51°27,578'N	004°50,669'E
51°27,337'N	004°50,475'E
51°27,434'N	004°50,054'E
51°26,954'N	004°49,440'E
51°25,608'N	004°49,701'E
51°25,300'N	004°50,200'E
51°25,132'N	004°50,218'E
51°25,669'N	004°48,408'E
51°25,983'N	004°47,184'E
51°26,100'N	004°46,300'E
51°25,864'N	004°46,040'E
51°25,241'N	004°46,020'E
51°24,905'N	004°46,319'E
51°24,700'N	004°46,500'E
51°24,891'N	004°51,616'E
51°24,614'N	004°52,104'E
51°24,946'N	004°52,326'E
51°25,000'N	004°53,000'E
51°24,557'N	004°54,456'E
51°23,948'N	004°55,111'E
51°23,725'N	004°54,777'E
51°23,722'N	004°55,583'E
51°25,314'N	004°57,765'E
51°26,648'N	005°00,204'E
51°26,800'N	005°00,400'E
51°27,352'N	005°00,640'E
51°27,752'N	005°00,388'E
51°28,250'N	005°00,533'E
51°29,300'N	005°01,700'E
51°28,763'N	005°02,369'E
51°28,281'N	005°02,755'E
51°28,400'N	005°04,800'E
51°25,900'N	005°06,300'E
51°23,600'N	005°04,300'E
51°21,688'N	005°06,985'E
51°21,303'N	005°07,187'E
51°20,900'N	005°08,000'E
51°19,004'N	005°08,034'E
51°18,612'N	005°09,770'E
51°19,010'N	005°10,513'E
51°19,300'N	005°12,200'E
51°18,286'N	005°14,438'E
51°16,138'N	005°13,496'E
51°15,673'N	005°14,213'E
51°16,042'N	005°15,690'E
51°15,699'N	005°17,553'E
51°15,790'N	005°20,004'E
51°15,974'N	005°20,468'E
51°16,600'N	005°20,900'E
51°15,775'N	005°24,935'E
51°16,686'N	005°25,947'E
51°16,949'N	005°26,424'E
51°17,106'N	005°27,745'E
51°18,012'N	005°29,002'E
51°17,760'N	005°30,900'E
51°16,100'N	005°33,300'E
51°14,778'N	005°33,223'E
51°13,384'N	005°33,509'E
51°11,980'N	005°39,179'E
51°11,130'N	005°39,516'E
51°11,100'N	005°42,000'E
