48°28,890'N	007°32,143'E
48°29,468'N	007°33,124'E
48°30,218'N	007°33,952'E
48°31,084'N	007°33,464'E
48°31,597'N	007°35,046'E
48°32,489'N	007°35,413'E
48°33,461'N	007°37,961'E
48°33,935'N	007°37,453'E
48°34,961'N	007°34,552'E
48°36,302'N	007°34,390'E
48°38,284'N	007°36,011'E
48°38,835'N	007°37,681'E
48°39,578'N	007°38,720'E
48°39,816'N	007°39,574'E
48°40,789'N	007°40,761'E
48°41,715'N	007°41,274'E
48°42,308'N	007°42,470'E
48°42,888'N	007°44,542'E
48°43,703'N	007°44,577'E
48°44,632'N	007°44,036'E
48°45,408'N	007°45,173'E
48°46,197'N	007°46,117'E
48°46,892'N	007°46,070'E
48°47,280'N	007°48,499'E
48°47,889'N	007°48,541'E
48°48,618'N	007°48,748'E
48°49,332'N	007°48,548'E
48°50,126'N	007°50,150'E
48°50,734'N	007°50,918'E
48°51,237'N	007°54,064'E
48°52,099'N	007°56,628'E
48°53,011'N	007°58,610'E
48°53,731'N	007°58,814'E
48°53,648'N	008°00,661'E
48°53,884'N	008°01,661'E
48°54,556'N	008°02,392'E
48°54,861'N	008°05,510'E
48°55,763'N	008°06,816'E
48°57,157'N	008°08,149'E
48°57,843'N	008°09,593'E
48°58,467'N	008°11,062'E
48°58,917'N	008°11,996'E
48°59,179'N	008°13,432'E
48°59,157'N	008°12,375'E
48°59,413'N	008°12,085'E
48°59,355'N	008°09,600'E
48°59,588'N	008°06,894'E
48°59,731'N	008°05,293'E
49°00,763'N	008°03,199'E
49°01,644'N	008°00,493'E
49°02,189'N	007°58,418'E
49°03,383'N	007°56,414'E
49°02,454'N	007°54,916'E
49°02,974'N	007°53,498'E
49°02,046'N	007°51,610'E
49°03,872'N	007°47,998'E
49°02,871'N	007°46,122'E
49°02,485'N	007°44,473'E
49°03,206'N	007°43,935'E
49°03,100'N	007°43,041'E
49°03,284'N	007°41,659'E
49°02,531'N	007°40,768'E
49°03,230'N	007°38,058'E
49°04,212'N	007°37,904'E
49°04,893'N	007°36,356'E
49°04,813'N	007°34,886'E
49°05,052'N	007°33,109'E
49°06,602'N	007°31,056'E
49°08,312'N	007°29,358'E
49°09,073'N	007°30,309'E
49°09,868'N	007°29,322'E
49°09,644'N	007°26,048'E
49°10,146'N	007°26,315'E
49°10,786'N	007°26,289'E
49°10,183'N	007°21,910'E
49°09,245'N	007°21,811'E
49°08,495'N	007°21,737'E
49°08,509'N	007°19,706'E
49°07,966'N	007°18,844'E
49°06,732'N	007°17,260'E
49°07,310'N	007°16,626'E
49°07,532'N	007°15,023'E
49°07,269'N	007°13,000'E
49°06,768'N	007°11,768'E
49°07,658'N	007°10,815'E
49°07,203'N	007°09,489'E
49°07,604'N	007°08,230'E
49°08,186'N	007°07,347'E
49°08,273'N	007°06,304'E
49°08,960'N	007°06,737'E
49°08,927'N	007°05,274'E
49°08,350'N	007°04,931'E
49°07,273'N	007°05,087'E
49°06,773'N	007°02,919'E
49°08,422'N	007°02,692'E
49°09,885'N	007°01,698'E
49°11,359'N	007°02,084'E
49°11,453'N	007°00,524'E
49°12,148'N	006°59,036'E
49°11,840'N	006°57,643'E
49°12,880'N	006°56,216'E
49°12,485'N	006°53,360'E
49°13,275'N	006°51,362'E
49°12,509'N	006°50,573'E
49°11,483'N	006°50,939'E
49°10,257'N	006°51,508'E
49°10,287'N	006°50,682'E
49°09,321'N	006°49,004'E
49°09,820'N	006°46,460'E
49°10,026'N	006°43,668'E
49°11,313'N	006°42,589'E
49°12,440'N	006°43,672'E
49°13,006'N	006°43,176'E
49°12,808'N	006°41,924'E
49°13,157'N	006°41,343'E
49°14,914'N	006°41,122'E
49°15,574'N	006°39,579'E
49°15,991'N	006°39,976'E
49°16,758'N	006°39,885'E
49°16,875'N	006°39,074'E
49°18,160'N	006°36,750'E
49°19,288'N	006°35,414'E
49°20,031'N	006°35,519'E
49°20,235'N	006°34,621'E
49°21,261'N	006°33,701'E
49°21,527'N	006°34,466'E
49°21,122'N	006°35,486'E
49°22,038'N	006°35,936'E
49°22,280'N	006°35,347'E
49°23,231'N	006°34,895'E
49°23,328'N	006°34,042'E
49°23,719'N	006°33,488'E
49°23,866'N	006°32,912'E
49°24,624'N	006°32,654'E
49°25,134'N	006°33,493'E
49°25,730'N	006°32,650'E
49°26,477'N	006°31,114'E
49°28,020'N	006°27,830'E
49°27,960'N	006°27,090'E
49°28,660'N	006°25,480'E
49°28,230'N	006°24,780'E
49°27,930'N	006°23,800'E
49°27,910'N	006°22,720'E
49°28,053'N	006°22,329'E
49°28,280'N	006°22,240'E
49°30,100'N	006°22,380'E
49°31,940'N	006°21,620'E
49°33,320'N	006°23,120'E
49°33,770'N	006°22,940'E
49°34,450'N	006°21,580'E
49°34,610'N	006°22,450'E
49°34,540'N	006°23,150'E
49°34,910'N	006°23,290'E
49°35,200'N	006°22,910'E
49°35,610'N	006°22,840'E
49°36,090'N	006°23,920'E
49°36,920'N	006°25,220'E
49°39,510'N	006°26,620'E
49°39,920'N	006°25,810'E
49°41,430'N	006°28,190'E
49°42,630'N	006°30,570'E
49°43,600'N	006°31,060'E
49°44,030'N	006°30,320'E
49°45,070'N	006°30,360'E
49°45,270'N	006°30,530'E
49°45,750'N	006°31,160'E
49°46,380'N	006°30,850'E
49°47,080'N	006°31,200'E
49°47,530'N	006°30,740'E
49°47,890'N	006°31,270'E
49°48,660'N	006°31,830'E
49°48,890'N	006°31,300'E
49°48,440'N	006°31,020'E
49°48,890'N	006°29,340'E
49°49,470'N	006°28,190'E
49°48,890'N	006°27,280'E
49°49,020'N	006°25,740'E
49°49,360'N	006°24,130'E
49°51,190'N	006°21,970'E
49°51,010'N	006°20,390'E
49°50,420'N	006°20,010'E
49°50,360'N	006°19,620'E
49°50,510'N	006°19,380'E
49°51,010'N	006°19,690'E
49°51,680'N	006°19,060'E
