 ICAO 	 Name	Lat     	 Lon	Lvl	 BNL 	Edit date	Editor
EBAM	Amougies	5044370N	00329200E	3	1		
EBAW	Antwerpen	5111350N	00427650E	5	1		
EBBE	Beauvechain	5045520N	00446100E	4	1		
EBBL	Kleine Brogel	5110150N	00528300E	4	1		
EBBR	Brussel	5054030N	00429040E	5	1		
EBBT	Brasschaat	5120450N	00430250E	3	1		
EBBX	Bertrix	4953330N	00513250E	2	1		
EBCI	Charleroi	5027650N	00427250E	5	1		
EBCV	Chievres	5034550N	00349860E	4	1		
EBDT	Diest	5100250N	00503950E	4	1		
EBFN	Koksijde	5105500N	00239250E	4	1		
EBFS	Florennes	5014700N	00438800E	4	1		
EBGG	Geraardsbergen	5045150N	00351950E	2	1		
EBHN	Hoevenen	5118450N	00423250E	3	1		
EBKH	Keiheuvel	5110750N	00513250E	3	1		
EBKT	Kortrijk	5049130N	00312570E	4	1		
EBLB	Elsenborn	5029200N	00611000E	3	1		
EBLE	Leopoldsburg	5107250N	00518450E	3	1		
EBLG	Liege	5038250N	00526650E	5	1		
EBMO	Moorsele	5051150N	00308850E	3	1		
EBNM	Namur	5029280N	00446160E	4	1		
EBOS	Oostende	5111930N	00251730E	5	1		
EBSG	St.Ghislain	5027450N	00349250E	3	1		
EBSP	Spa	5028950N	00554650E	3	1		
EBSU	St.Hubert	5002150N	00524270E	3	1		
EBTN	Goetsenhoven	5046950N	00457450E	3	1		
EBTX	Theux	5033150N	00551350E	3	1		
EBTY	Maubray	5031780N	00329700E	3	1		
EBUL	Ursel	5108650N	00328550E	3	1		
EBWE	Weelde	5124060N	00458210E	3	1		
EBZH	Hasselt	5058200N	00522500E	3	1		
EBZR	Zoersel	5115850N	00445250E	3	1		
EBZW	Zwartberg	5100850N	00531350E	4	1		
EBZZ	Froidchapelle	5010580N	00421170E	2	1		
EBZZ	Ivoi	5021630N	00456780E	1	1		
EDAR	Pirna	5058700N	01354960E	2	0		
EDBL	Laucha	5114800N	01141600E	2	0		
EDBO	Oehna	5154130N	01303630E	3	0		
EDCW	Werl	5134310N	00755130E	2	0		
EDDF	Frankfurt	5001590N	00832590E	5	0		
EDDH	Hamburg	5337860N	00959810E	5	0		
EDDI	Berlin	5228380N	01324240E	5	0		
EDDK	Koln/Bonn	5051970N	00708320E	5	0		
EDDL	Dusseldorf	5115920N	00651160E	2	0		
EDDM	Munchen	4821230N	01147170E	5	0		
EDDN	Nurnberg	4929920N	01104670E	4	0		
EDDR	Saarbrucken	4912930N	00706620E	5	0		
EDDS	Stuttgart	4841380N	00913310E	5	0		
EDDV	Hannover	5227660N	00941100E	5	0		
EDDW	Bremen	5302850N	00847200E	5	0		
EDEL	Langenlohnsheim	4954450N	00754280E	2	0		
EDER	Wasserkuppe	5029900N	00957200E	3	0		
EDFD	Bad Neustadt	5018350N	01013300E	3	0		
EDFH	Hahn	4956980N	00715830E	5	0		
EDFS	Schweinfurt	5000640N	01015040E	2	0		
EDFY	Elz	5025650N	00800650E	2	0		
EDGA	Ailertchen	5035610N	00756710E	3	0		
EDGB	Breitscheid	5040670N	00810060E	3	0		
EDGF	Fulda	5028530N	00926540E	2	0		
EDGQ	Schameder	5100080N	00818470E	3	0		
EDGS	Siegerland	5042480N	00804990E	4	0		
EDHL	Lubeck	5348300N	01043200E	4	0		
EDKA	Aachen	5049450N	00611050E	4	0		
EDKB	Bonn Hangelar	5046130N	00709710E	4	0		
EDKD	Altena	5118800N	00742670E	3	0		
EDKF	Bergneustadt	5103120N	00742430E	2	0		
EDKH	Hunsborn	5055770N	00753950E	2	0		
EDKI	Betzdorf	5049120N	00749960E	2	0		
EDKL	Leverkusen	5100950N	00700370E	3	0		
EDKM	Meschede	5118160N	00814260E	3	0		
EDKN	Wipperfuerth	5107450N	00722450E	3	0		
EDKP	Plettenberg	5111530N	00747480E	3	0		
EDKU	Attendorn	5108730N	00756150E	2	0		
EDKV	Dahlemer-Binz	5024370N	00631730E	4	0		
